date,name
2005-09-17,추석
2005-09-18,추석
2005-09-19,추석
2005-10-03,개천절
2005-12-25,기독탄신일
2006-01-01,신정
2006-01-28,설날
2006-01-29,설날
2006-01-30,설날
2006-03-01,삼일절
2006-05-05,석가탄신일
2006-05-31,제4회 전국동시지방선거
2006-06-06,현충일
2006-07-17,제헌절
2006-08-15,광복절
2006-10-03,개천절
2006-10-05,추석
2006-10-06,추석
2006-10-07,추석
2006-12-25,기독탄신일
2007-01-01,신정
2007-02-17,설날
2007-02-18,설날
2007-02-19,설날
2007-03-01,삼일절
2007-05-05,어린이날
2007-05-24,석가탄신일
2007-06-06,현충일
2007-07-17,제헌절
2007-08-15,광복절
2007-09-24,추석
2007-09-25,추석
2007-09-26,추석
2007-10-03,개천절
2007-12-19,제17대 대통령선거
2007-12-25,기독탄신일
2008-01-01,신정
2008-02-06,설날
2008-02-07,설날
2008-02-08,설날
2008-03-01,삼일절
2008-04-09,제18대 국회의원선거
2008-05-05,어린이날
2008-05-12,석가탄신일
2008-06-06,현충일
2008-08-15,광복절
2008-09-13,추석
2008-09-14,추석
2008-09-15,추석
2008-10-03,개천절
2008-12-25,기독탄신일
2009-01-01,신정
2009-01-25,설날
2009-01-26,설날
2009-01-27,설날
2009-03-01,삼일절
2009-05-02,석가탄신일
2009-05-05,어린이날
2009-06-06,현충일
2009-08-15,광복절
2009-10-02,추석
2009-10-03,개천절
2009-10-04,추석
2009-12-25,기독탄신일
2010-01-01,신정
2010-02-13,설날
2010-02-14,설날
2010-02-15,설날
2010-03-01,삼일절
2010-05-05,어린이날
2010-05-21,석가탄신일
2010-06-02,제5회 전국동시지방선거
2010-06-06,현충일
2010-08-15,광복절
2010-09-21,추석
2010-09-22,추석
2010-09-23,추석
2010-10-03,개천절
2010-12-25,기독탄신일
2011-01-01,신정
2011-02-02,설날
2011-02-03,설날
2011-02-04,설날
2011-03-01,삼일절
2011-05-05,어린이날
2011-05-10,석가탄신일
2011-06-06,현충일
2011-08-15,광복절
2011-09-11,추석
2011-09-12,추석
2011-09-13,추석
2011-10-03,개천절
2011-12-25,기독탄신일
2012-01-01,신정
2012-01-22,설날
2012-01-23,설날
2012-01-24,설날
2012-03-01,삼일절
2012-04-11,국회의원선거일
2012-05-05,어린이날
2012-05-28,석가탄신일
2012-06-06,현충일
2012-08-15,광복절
2012-09-29,추석
2012-09-30,추석
2012-10-01,추석
2012-10-03,개천절
2012-12-19,대통령선거일
2012-12-25,기독탄신일
2013-01-01,신정
2013-02-09,설날
2013-02-10,설날
2013-02-11,설날
2013-03-01,삼일절
2013-05-05,어린이 날
2013-05-17,석가탄신일
2013-06-06,현충일
2013-08-15,광복절
2013-09-18,추석
2013-09-19,추석
2013-09-20,추석
2013-10-03,개천절
2013-10-09,한글날
2013-12-25,기독탄신일
2014-01-01,신정
2014-01-30,설날
2014-01-31,설날
2014-02-01,설날
2014-03-01,삼일절
2014-05-05,어린이날
2014-05-06,석가탄신일
2014-06-04,동시지방선거일
2014-06-06,현충일
2014-08-15,광복절
2014-09-07,추석
2014-09-08,추석
2014-09-09,추석
2014-09-10,대체공휴일
2014-10-03,개천절
2014-10-09,한글날
2014-12-25,기독탄신일
2015-01-01,신정
2015-02-18,설날
2015-02-19,설날
2015-02-20,설날
2015-03-01,삼일절
2015-05-05,어린이날
2015-05-25,석가탄신일
2015-06-06,현충일
2015-08-15,광복절
2015-09-26,추석
2015-09-27,추석
2015-09-28,추석
2015-09-29,대체공휴일
2015-10-03,개천절
2015-10-09,한글날
2015-12-25,기독탄신일
2016-01-01,신정
2016-02-07,설날
2016-02-08,설날
2016-02-09,설날
2016-02-10,대체공휴일
2016-03-01,삼일절
2016-04-13,국회의원선거일
2016-05-05,어린이날
2016-05-06,임시공휴일
2016-05-14,석가탄신일
2016-06-06,현충일
2016-08-15,광복절
2016-09-14,추석
2016-09-15,추석
2016-09-16,추석
2016-10-03,개천절
2016-10-09,한글날
2016-12-25,기독탄신일
2017-01-01,신정
2017-01-27,설날
2017-01-28,설날
2017-01-29,설날
2017-01-30,대체공휴일
2017-03-01,삼일절
2017-05-03,석가탄신일
2017-05-05,어린이날
2017-05-09,대통령선거일
2017-06-06,현충일
2017-08-15,광복절
2017-10-02,임시공휴일
2017-10-03,추석
2017-10-04,추석
2017-10-05,추석
2017-10-06,대체공휴일
2017-10-09,한글날
2017-12-25,기독탄신일
2018-01-01,1월1일
2018-02-15,설날
2018-02-16,설날
2018-02-17,설날
2018-03-01,삼일절
2018-05-05,어린이날
2018-05-07,대체휴무일
2018-05-22,부처님오신날
2018-06-06,현충일
2018-06-13,전국동시지방선거
2018-08-15,광복절
2018-09-23,추석
2018-09-24,추석
2018-09-25,추석
2018-09-26,대체휴무일
2018-10-03,개천절
2018-10-09,한글날
2018-12-25,기독탄신일
2019-01-01,1월1일
2019-02-04,설날
2019-02-05,설날
2019-02-06,설날
2019-03-01,삼일절
2019-05-05,어린이날
2019-05-06,대체공휴일
2019-05-12,부처님오신날
2019-06-06,현충일
2019-08-15,광복절
2019-09-12,추석
2019-09-13,추석
2019-09-14,추석
2019-10-03,개천절
2019-10-09,한글날
2019-12-25,기독탄신일
2020-01-01,1월1일
2020-01-24,설날
2020-01-25,설날
2020-01-26,설날
2020-01-27,대체공휴일
2020-03-01,삼일절
2020-04-15,제21대 국회의원선거
2020-04-30,부처님오신날
2020-05-05,어린이날
2020-06-06,현충일
2020-08-15,광복절
2020-08-17,임시공휴일
2020-09-30,추석
2020-10-01,추석
2020-10-02,추석
2020-10-03,개천절
2020-10-09,한글날
2020-12-25,기독탄신일
2021-01-01,1월1일
2021-02-11,설날
2021-02-12,설날
2021-02-13,설날
2021-03-01,삼일절
2021-05-05,어린이날
2021-05-19,부처님오신날
2021-06-06,현충일
2021-08-15,광복절
2021-08-16,대체공휴일
2021-09-20,추석
2021-09-21,추석
2021-09-22,추석
2021-10-03,개천절
2021-10-04,대체공휴일
2021-10-09,한글날
2021-10-11,대체공휴일
2021-12-25,기독탄신일
2022-01-01,1월1일
2022-01-31,설날
2022-02-01,설날
2022-02-02,설날
2022-03-01,삼일절
2022-03-09,대통령선거일
2022-05-05,어린이날
2022-05-08,부처님오신날
2022-06-01,전국동시지방선거
2022-06-06,현충일
2022-08-15,광복절
2022-09-09,추석
2022-09-10,추석
2022-09-11,추석
2022-09-12,대체공휴일
2022-10-03,개천절
2022-10-09,한글날
2022-10-10,대체공휴일
2022-12-25,기독탄신일
2023-01-01,1월1일
2023-01-21,설날
2023-01-22,설날
2023-01-23,설날
2023-01-24,대체공휴일
2023-03-01,삼일절
2023-05-05,어린이날
2023-05-27,부처님오신날
2023-05-29,대체공휴일
2023-06-06,현충일
2023-08-15,광복절
2023-09-28,추석
2023-09-29,추석
2023-09-30,추석
2023-10-02,임시공휴일
2023-10-03,개천절
2023-10-09,한글날
2023-12-25,기독탄신일
2024-01-01,1월1일
2024-02-09,설날
2024-02-10,설날
2024-02-11,설날
2024-02-12,대체공휴일(설날)
2024-03-01,삼일절
2024-04-10,국회의원선거
2024-05-05,어린이날
2024-05-06,대체공휴일(어린이날)
2024-05-15,부처님오신날
2024-06-06,현충일
2024-08-15,광복절
2024-09-16,추석
2024-09-17,추석
2024-09-18,추석
2024-10-01,임시공휴일
2024-10-03,개천절
2024-10-09,한글날
2024-12-25,기독탄신일
2025-01-01,1월1일
2025-01-27,임시공휴일
2025-01-28,설날
2025-01-29,설날
2025-01-30,설날
2025-03-01,삼일절
2025-03-03,대체공휴일
2025-05-05,부처님오신날
2025-05-06,대체공휴일
2025-06-03,임시공휴일(제21대 대통령 선거)
2025-06-06,현충일
2025-08-15,광복절
2025-10-03,개천절
2025-10-05,추석
2025-10-06,추석
2025-10-07,추석
2025-10-08,대체공휴일
2025-10-09,한글날
2025-12-25,기독탄신일
2026-01-01,1월1일
2026-02-16,설날
2026-02-17,설날
2026-02-18,설날
2026-03-01,삼일절
2026-03-02,대체공휴일(삼일절)
2026-05-01,노동절
2026-05-05,어린이날
2026-05-24,부처님오신날
2026-05-25,대체공휴일(부처님오신날)
2026-06-03,전국동시지방선거
2026-06-06,현충일
2026-07-17,제헌절
2026-08-15,광복절
2026-08-17,대체공휴일(광복절)
2026-09-24,추석
2026-09-25,추석
2026-09-26,추석
2026-10-03,개천절
2026-10-05,대체공휴일(개천절)
2026-10-09,한글날
2026-12-25,기독탄신일
2027-01-01,1월1일
2027-02-06,설날
2027-02-07,설날
2027-02-08,설날
2027-02-09,대체공휴일(설날)
2027-03-01,삼일절
2027-05-01,노동절
2027-05-03,대체공휴일(노동절)
2027-05-05,어린이날
2027-05-13,부처님오신날
2027-06-06,현충일
2027-07-17,제헌절
2027-07-19,대체공휴일(제헌절)
2027-08-15,광복절
2027-08-16,대체공휴일(광복절)
2027-09-14,추석
2027-09-15,추석
2027-09-16,추석
2027-10-03,개천절
2027-10-04,대체공휴일(개천절)
2027-10-09,한글날
2027-10-11,대체공휴일(한글날)
2027-12-25,기독탄신일
2027-12-27,대체공휴일(기독탄신일)
